sentiment,objectivity,emotion,type,variant
negative,org,plain,OTHERSP,announce
neutral,pers,plain,OTHERSP,announce
neutral,org,plain,OTHERSP,announce
neutral,pers,plain,OTHERSP,announce
neutral,pers,plain,OTHERSP,announce
neutral,pers,plain,OTHERSP,announce
neutral,pers,plain,OTHERSP,announce
neutral,pers,plain,OTHERSP,announce
neutral,pers,plain,OTHERSP,announce
neutral,org,plain,OTHERSP,announce
neutral,pers,plain,OTHERSP,announce
neutral,pers,plain,OTHERSP,announce
positive,org,plain,OTHERSP,announce
neutral,pers,plain,OTHERSP,announce
neutral,org,plain,OTHERSP,announce
neutral,org,plain,OTHERSP,announce
neutral,org,plain,OTHERSP,announce
neutral,org,plain,OTHERSP,announce
neutral,pers,plain,OTHERSP,announce
positive,pers,plain,OTHERSP,announce
neutral,org,plain,OTHERSP,announce
neutral,org,plain,OTHERSP,announce
neutral,pers,plain,OTHERSP,announce
neutral,org,plain,OTHERSP,announce
neutral,org,plain,OTHERSP,announce
positive,pers,plain,OTHERSP,announce
neutral,org,plain,OTHERSP,announce
neutral,org,plain,OTHERSP,announce
neutral,pers,plain,OTHERSP,announce
neutral,org,plain,OTHERSP,announce
neutral,org,plain,OTHERSP,announce
neutral,org,plain,OTHERSP,announce
neutral,pers,plain,OTHERSP,announce
neutral,org,plain,OTHERSP,announce
neutral,org,plain,OTHERSP,announce
neutral,org,plain,OTHERSP,announce
neutral,pers,plain,OTHERSP,announce
neutral,org,plain,OTHERSP,announce
negative,pers,plain,OTHERSP,announce
neutral,pers,plain,OTHERSP,announce
neutral,pers,plain,OTHERSP,announce
neutral,pers,plain,OTHERSP,announce
neutral,pers,plain,OTHERSP,announce
neutral,pers,plain,OTHERSP,announce
neutral,pers,plain,OTHERSP,announce
neutral,pers,plain,OTHERSP,announce
neutral,org,plain,OTHERSP,announce
positive,org,plain,OTHERSP,announce
neutral,org,plain,OTHERSP,announce
neutral,org,plain,OTHERSP,announce
neutral,org,plain,OTHERSP,announce
neutral,org,plain,OTHERSP,announce
neutral,pers,plain,OTHERSP,announce
neutral,org,plain,OTHERSP,announce
neutral,org,plain,OTHERSP,announce
neutral,org,plain,OTHERSP,announce
negative,pers,plain,OTHERSP,announce
positive,pers,plain,OTHERSP,announce
positive,org,plain,OTHERSP,announce
neutral,org,plain,OTHERSP,announce
neutral,pers,plain,OTHERSP,announce
positive,pers,plain,OTHERSP,announce
neutral,pers,plain,OTHERSP,announce
neutral,pers,plain,OTHERSP,announce
negative,org,plain,OTHERSP,announce
neutral,org,plain,OTHERSP,announce
neutral,pers,plain,OTHERSP,announce
neutral,org,plain,OTHERSP,announce
neutral,pers,plain,OTHERSP,announce
negative,org,plain,OTHERSP,announce
neutral,org,plain,OTHERSP,announce
neutral,pers,plain,OTHERSP,announce
negative,pers,violent,OTHERSP,declare
neutral,org,plain,OTHERSP,declare
neutral,pers,violent,OTHERSP,declare
neutral,org,plain,OTHERSP,declare
neutral,org,plain,OTHERSP,declare
neutral,pers,plain,OTHERSP,declare
neutral,pers,plain,OTHERSP,declare
neutral,org,plain,OTHERSP,declare
neutral,org,plain,OTHERSP,declare
neutral,org,plain,OTHERSP,declare
neutral,org,plain,OTHERSP,declare
neutral,pers,violent,OTHERSP,declare
neutral,pers,violent,OTHERSP,declare
neutral,org,plain,OTHERSP,declare
neutral,org,plain,OTHERSP,declare
neutral,pers,violent,OTHERSP,declare
neutral,pers,violent,OTHERSP,declare
negative,pers,plain,OTHERSP,declare
neutral,org,plain,OTHERSP,declare
neutral,org,plain,OTHERSP,declare
neutral,org,plain,OTHERSP,declare
neutral,org,plain,OTHERSP,declare
neutral,pers,plain,OTHERSP,declare
neutral,org,plain,OTHERSP,declare
neutral,org,plain,OTHERSP,declare
neutral,pers,violent,OTHERSP,declare
neutral,org,plain,OTHERSP,declare
neutral,org,plain,OTHERSP,declare
neutral,org,plain,OTHERSP,declare
neutral,pers,violent,OTHERSP,declare
neutral,org,plain,OTHERSP,declare
neutral,org,plain,OTHERSP,declare
neutral,org,plain,OTHERSP,declare
negative,org,plain,OTHERSP,declare
neutral,pers,plain,OTHERSP,declare
neutral,pers,plain,OTHERSP,declare
neutral,org,plain,OTHERSP,declare
neutral,pers,violent,OTHERSP,declare
neutral,org,plain,OTHERSP,declare
neutral,org,plain,OTHERSP,declare
neutral,pers,violent,OTHERSP,declare
neutral,org,plain,OTHERSP,declare
neutral,org,plain,OTHERSP,declare
neutral,org,plain,OTHERSP,declare
neutral,org,plain,OTHERSP,declare
neutral,org,plain,OTHERSP,declare
neutral,pers,violent,OTHERSP,declare
neutral,org,plain,OTHERSP,declare
negative,org,plain,OTHERSP,declare
neutral,org,plain,OTHERSP,declare
neutral,org,plain,OTHERSP,declare
neutral,org,plain,OTHERSP,declare
neutral,org,plain,OTHERSP,declare
neutral,org,plain,OTHERSP,declare
negative,org,plain,OTHERSP,declare
neutral,org,plain,OTHERSP,declare
neutral,org,plain,OTHERSP,declare
neutral,org,violent,OTHERSP,declare
neutral,pers,plain,OTHERSP,declare
positive,org,plain,OTHERSP,declare
neutral,org,plain,OTHERSP,declare
neutral,org,plain,OTHERSP,declare
neutral,org,plain,OTHERSP,declare
neutral,org,plain,OTHERSP,declare
neutral,org,plain,OTHERSP,declare
neutral,org,plain,OTHERSP,declare
